"from_country","to_country","total_points"
"de","lv",62
"dk","lv",71
"ee","lv",137
"es","lv",27
"fi","lv",39
"fr","lv",28
"gb","lv",86
"ge","lv",70
"gr","lv",19
"hr","lv",31
"hu","lv",22
"ie","lv",122
"il","lv",54
"is","lv",59
"it","lv",18
"lt","lv",201
"lv","lv",0
"mc","lv",10
"md","lv",38
"me","lv",5
"mk","lv",31
"mt","lv",69
"nl","lv",24
"no","lv",64
"pl","lv",67
"pt","lv",60
"ro","lv",13
"rs","lv",6
"ru","lv",30
"se","lv",53
"si","lv",66
"sk","lv",0
"sm","lv",35
"tr","lv",6
"ua","lv",50
"at","ma",0
"be","ma",0
"ch","ma",0
"de","ma",0
"dk","ma",0
"es","ma",0
"fi","ma",0
"fr","ma",0
"gb","ma",0
"gr","ma",0
"ie","ma",0
"it","ma",7
"lu","ma",0
"ma","ma",0
"nl","ma",0
"no","ma",0
"pt","ma",0
"se","ma",0
"tr","ma",0
"ad","mc",17
"al","mc",2
"am","mc",0
"at","mc",28
"ba","mc",0
"be","mc",40
"bg","mc",0
"by","mc",0
"ch","mc",40
"cs","mc",0
"cy","mc",4
"de","mc",56
"dk","mc",16
"ee","mc",2
"es","mc",39
"fi","mc",41
"fr","mc",60
"gb","mc",55
"gr","mc",16
"hr","mc",0
"hu","mc",0
"ie","mc",38
"il","mc",24
"is","mc",0
"it","mc",56
"lt","mc",0
"lu","mc",43
"lv","mc",0
"mc","mc",0
"md","mc",2
"mk","mc",0
"mt","mc",11
"nl","mc",46
"no","mc",32
"pl","mc",1
"pt","mc",31
"ro","mc",0
"ru","mc",0
"se","mc",47
"si","mc",0
"tr","mc",5
"ua","mc",0
"yu","mc",32
"ad","md",5
"al","md",48
"am","md",94
"at","md",59
"au","md",75
"az","md",102
"ba","md",10
"be","md",46
"bg","md",80
"by","md",104
"ch","md",25
"cs","md",11
"cy","md",59
"cz","md",67
"de","md",36
"dk","md",52
"ee","md",39
"es","md",97
"fi","md",48
"fr","md",97
"gb","md",67
"ge","md",66
"gr","md",142
"hr","md",50
"hu","md",46
"ie","md",49
"il","md",67
"is","md",49
"it","md",147
"lt","md",52
"lv","md",98
"mc","md",0
"md","md",0
"me","md",63
"mk","md",56
"mt","md",27
"nl","md",53
"no","md",49
"pl","md",64
"pt","md",173
"ro","md",294
"rs","md",80
"ru","md",185
"se","md",51
"si","md",66
"sk","md",16
"sm","md",92
"tr","md",42
"ua","md",145
"ad","me",1
"al","me",43
"am","me",44
"at","me",0
"au","me",7
"az","me",34
"ba","me",38
"be","me",0
"bg","me",0
"by","me",5
